,Index,Company Name,Symbol,Sector,Industry
1243,2056,Interfor Corporation,IFP,Basic Materials,Forest Products
1244,2058,Intermap Technology,IMP,Industrials,Business Services
1245,2060,Int'l Pete Corp.,IPCO,Energy,Oil & Gas - E&P
1246,2062,Int'l Tower Hill J,ITH,Basic Materials,Metals & Mining
1247,2064,InterRent REIT Un J,IIP.UN,Real Estate,REITs
1248,2066,Intertape Polymer,ITP,Consumer Cyclical,Packaging & Containers
1249,2068,Intrinsyc Tech J,ITC,Technology,Application Software
1250,2070,INV Metals Inc. J,INV,Basic Materials,Metals & Mining
1251,2072,Invesco 1-3YrLadFltg,PFL,,
1252,2074,Invesco1-5CorpBnd Un,PSB,,
1253,2076,Invesco Cdn Div Un,PDC,,
1254,2078,Invesco Cdn Pr Un,PPS,,
1255,2080,Invesco FTSE RAFICdn,PXC,,
1256,2082,InvscoFTSE CA Sml-Md,PZC,,
1257,2084,Invesc FTSERAF GlbCA,PZW,,
1258,2085,Invesco FTSE Sml-Md,PZW.F,,
1259,2086,InvescoFTSERAF GlbUS,PZW.U,,
1260,2088,Invesco FTSE Glb+ETF,PXG,,
1261,2089,Invesco FTSE Glb+ US,PXG.U,,
1262,2091,InvescoFTSE US CA-Hg,PXU.F,,
1263,2093,InvescFTSE USFnd2 CA,PXS,,
1264,2094,Invesco FTSE ETF2 US,PXS.U,,
1265,2096,Invesco CorpBndCA$Hg,PFH.F,,
1266,2098,Invesco GlbShrhldrCA,PSY,,
1267,2099,Invesco GlbShrhldrUS,PSY.U,,
1268,2101,InvescoLddrRtUS0-5Yr,USB,,
1269,2102,InvescoLddrRtO-5YrUS,USB.U,,
1270,2104,Invesco LowVolPortfl,PLV,,
1271,2106,Invesco QQQ CA$Hg,QQC.F,,
1272,2108,Invesco S&P500 EqWgt,EQL,,
1273,2109,Invesco S&P500EqCA-H,EQL.F,,
1274,2110,Invesco S&P500Eq USF,EQL.U,,
1275,2112,Invesco 500LowVol CA,ULV.C,,
1276,2113,Invesco500LowVolCAHg,ULV.F,,
1277,2114,Invesco 500LowVol US,ULV.U,,
1278,2116,Invesco S&P EmrgMkts,ELV,,
1279,2118,InvescoS&PIntl LwVol,ILV,,
1280,2119,InvescoS&PIntlLwVlCA,ILV.F,,
1281,2121,InvescoCompVltlty Un,TLV,,
1282,2123,Invesco REIT Incm CA,REIT,,
1283,2125,Invesco SeniorLoanCA,BKL.C,,
1284,2126,Invesco SnrLoanCAheg,BKL.F,,
1285,2127,Invesco SeniorLoanUS,BKL.U,,
1286,2129,Invesco TactBond Un,PTB,,
1287,2131,Invesque 5% Deb USF,IVQ.DB.U,nan,nan
1288,2132,Invesque 6% Deb USF,IVQ.DB.V,nan,nan
1289,2133,Invesque Inc. USF,IVQ.U,Real Estate,Real Estate Services
1290,2135,Invest GrdInfrBnd Un,IFB.UN,Financial Services,Asset Management
1291,2137,IPL Plastics Inc.,IPLP,Consumer Cyclical,Packaging & Containers
1292,2139,iShre 1-10CorpBnd Un,CBH,,
1293,2141,iShre 1-10GovtBnd Un,CLG,,
1294,2143,iShre 1-5 CorpBnd Un,CBO,,
1295,2145,iShre 1-5 GovtBnd Un,CLF,,
1296,2147,iShares Cdn Corp Bnd,XCB,,
1297,2149,iShares CdnFinMo Un,FIE,,
1298,2151,iShares Cdn Govt Bnd,XGB,,
1299,2153,iShares Cdn Growth,XCG,,
1300,2155,iShare Cdn HYBrd Bnd,XHB,,
1301,2157,iShare Cdn RlRet Bnd,XRB,,
1302,2159,iShares Cdn Slct Div,XDV,,
1303,2161,iShares Cdn Value Un,XCV,,
1304,2163,iShares China Index,XCH,,
1305,2165,iShr Consv ShStgyFxd,XSC,,
1306,2167,iShr Consv Stgy Incm,XSE,,
1307,2169,iShares ConvBond Un,CVD,,
1308,2171,iShares CoreBal Un,XBAL,,
1309,2173,iShr CoreCdnLT BndUn,XLB,,
1310,2175,iShre Cdn Sh Trm Bnd,XSB,,
1311,2177,iShr CoreCdnShMplBnd,XSH,,
1312,2179,iShr Cdn Univers Bnd,XBB,,
1313,2181,iShares Core Grow Un,XGRO,,
1314,2183,iShr CoreMSCI AC Wex,XAW,,
1315,2185,iShare CorMSCICdnDiv,XDIV,,
1316,2187,iShr CorMSCIEAFE IMI,XEF,,
1317,2189,iShrCrMSCI EAFEIMIHG,XFH,,
1318,2191,iShr Core EmrgMktIMI,XEC,,
1319,2193,iShr CorMSCI GlblDiv,XDG,,
1320,2195,iShr CorGlbDivCA-Heg,XDGH,,
